Provider,Amount
MINDIRA HOSPITAL ISIBANIA,50000
NAIVASHA QUALITY HEALTHCARE SERVICES LTD,60000
NEW JUNCTION HEALTH CENTRE,10000
OMBO KACHIENG\\' DISPENSARY,260000
A.I.C GITHUMU MISSION HOSPITAL,290000
AAR HOSPITAL LIMITED MUTHAIGA,2531700
ABDIWAQO DISPENSARY,90000
ABIKASHIRO MEDICAL CENTRE LTD,80000
ABM SPECIALIZED HOSPITAL,42600
ABRAAR HOSPITAL LIMITED,30000
ABULO MEDICAL CENTER,10000
ACELA MEDICAL CENTRE LIMITED,40000
ACK DR. PIKE ROPER MEDICAL CENTRE,90000
ACK KHASOKO HEALTH CENTRE,70000
ACK SOYSAMBU DISPENSARY,60000
ACK ST.LUKES MISSION NURSING HOME,50000
ACORN COMMUNITY HOSPITAL LIMITED,30000
ADADIJOLE DISPENSARY,10000
ADEMASAJIDA DISPENSARY,50000
ADU DISPENSARY,670000
ADVANCED CANCER CENTRE LIMITED,15161792
ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSI,138450
AFARSHANLE DISPENSARY,50000
AFRAHA MATERNITY AND NURSING HOME,30000
AFRICA INLAND CHURCH LALANG AMALO HEALTH C,20000
AFRICA INUKA HOSPITAL LTD- MILIMANI,820000
AFRICA INUKA HOSPITAL LTD- UGUNJA,20000
AFRICA INUKA HOSPITAL LTD-MADEYA,70000
AFRICA MUSLIM AGENCY HEALTH CENTRE,30000
AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,223650
AFYA BORA MEDICAL CLINIC MUTOMO,10000
AFYA INTERNATIONAL HOSPITAL,60000
AFYA NGAMBO MEDICAL CLINIC,20000
AFYA NURSING HOME MOYALE,70000
AFYALINE SALGAA MEDICAL CENTRE,70000
AFYATELE CENTRE,240000
AHAVA MEDICAL CENTRE,150000
AHERO JUNCTION MEDICAL CENTRE,10000
AHERO MEDICAL CENTRE,20000
AHERO SUB-COUNTY HOSPITAL,1690000
AHMADIYYA MUSLIM HOSPITAL,836720
AIC KAJIADO HEALTH CENTRE,20000
AIC KIJABE HOSPITAL,1431450
AIC KIJABE HOSPITAL-NAIVASHA MEDICAL CENTRE,1670000
AIC LITEIN HOSPITAL,2173400
AIC LODENGO HEALTH CENTRE,40000
AIC LOKICHOGIO HEALTH CENTRE,290000
AINAMOI HEALTH CENTRE,620000
AIRPORT HEALTH CENTRE-KISUMU,490000
AKALA HEALTH CENTRE,710000
AL-BASRAH HOSPITAL LTD,380000
AL-BILAL NURSING HOME,70000
ALEN WALES LOLGORIAN MEDICAL CLINIC,40000
ALFAROOQ HOSPITAL LTD,80000
ALFOMBIU MEDICAL CLINIC,10000
ALIMAOW HEALTH CENTRE,430000
ALIMAOW NURSING HOME,10000
AL-ISHRAQ NURSING HOME LIMITED,10000
ALLIANCE MEDICAL CENTRE,149099
ALLIANCE MEDICAL CENTRE LTD GARISSA,820050
ALLIANCE MEDICAL CENTRE MOMBASA,138450
ALLUC MEDICAL CENTRE,30000
ALMAS MEDICAL SERVICES,160000
AL-MUHARAM NURSING HOME LTD,30000
AL-NAS NURSING HOME,10000
ALPHA HILL MEDICAL CENTER LIMITED,10000
ALPHA MEDICAL CENTRE- KAEWA,5000
ALPHIL MATERNITY AND NURSING HOME,109000
ALPHIL MEDICAL CENTRE LIMITED - NAKURU,320000
ALPHIL MEDICAL CENTRE LIMITED- KABURWO,110000
ALPO MEDICAL CENTRE,110000
AL-SIHA NURSING HOME,10000
ALUM BEACH DISPENSARY,160000
ALUNGU HEALTH CENTRE,100000
AMANE COTTAGE HOSPITAL,10000
AMBIRA SUB-COUNTY HOSPITAL,1610000
AMBOSELI DISPENSARY,90000
AMI RUHAMA CHURCH WARABA MEDICAL CENTRE,340000
AMINA COMMUNITY HOSPITAL CENTRE LIMITED,30000
AMOYO DISPENSARY,150000
AMUKURA SUB-COUNTY HOSPITAL,430000
AMUMA DISPENSARY,120000
AMURT HEALTH CARE CENTRE MALINDI MUYEYE CL,130000
ANDERSEN MEDICAL CENTRE,170000
ANDIWO DISPENSARY,290000
ANGAGA DISPENSARY,10000
ANGATA BARRIKOI HEALTH CENTRE,630000
ANGOGO DISPENSARY,10000
ANGOLA HEALTH CENTRE,120000
ANGURAI HEALTH CENTRE,210000
ANISAA MEDICAL CARE,10000
ANKA HOSPITAL LIMITED,30000
ANNET DISPENSARY,30000
ANNEX LOC MEDICARE,"250,000.00"
